id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity
1,The ocean ambience helped me stop drifting and concentrate on my next steps. My to-do list feels less chaotic.,ocean,12,6.5,4,2,afternoon,mixed,calm_face,clear,focused,3
2,I tried to relax during the forest ambience yet my thoughts kept racing. I still feel a low buzz in my body.,forest,35,6,2,4,evening,calm,tired_face,vague,restless,3
3,The forest session slowed my thoughts and I feel more settled now.,forest,3,,2,1,night,overwhelmed,happy_face,clear,calm,3
4,the mountain ambience was pleasant though i can't say it shifted my mood much. idk.,mountain,25,7,4,4,night,focused,calm_face,vague,neutral,1
5,The rain session gave me a pause but the pressure is still sitting hard on me. I'm carrying too much in my head.,rain,25,5,3,5,afternoon,,tense_face,clear,overwhelmed,5
6,after the forest track i feel peaceful and less pulled in every direction. my shoulders feel less tense.,forest,12,8,3,2,morning,mixed,calm_face,vague,calm,3
7,Nothing strong came up during the rain session; I feel fairly normal. At least I paused for a moment.,rain,20,6.5,2,4,early_morning,calm,neutral_face,conflicted,neutral,1
8,even with the mountain session my mind kept jumping between tasks.,mountain,12,6,3,4,morning,neutral,tense_face,clear,restless,4
9,I couldn't really settle into the cafe track; I kept thinking of everything at once. I still feel a low buzz in my body.,cafe,8,5.5,3,4,early_morning,mixed,neutral_face,vague,restless,4
10,The mountain ambience helped me stop drifting and concentrate on my next steps I should begin with the hardest task first,mountain,15,7,4,2,morning,overwhelmed,calm_face,conflicted,focused,3
11,The rain sounds were nice but I still feel unsettled and fidgety. Part of me wants to do everything at once.,rain,12,6.5,3,3,afternoon,mixed,none,conflicted,restless,4
12,I feel mentally clear after the mountain session and ready to tackle one thing at a time.,mountain,12,5.5,3,2,morning,restless,neutral_face,clear,focused,4
13,The forest session made me calmer but part of me still feels uneasy. Part of me wants rest part of me wants action.,forest,20,5,2,2,afternoon,neutral,none,conflicted,mixed,2
14,The cafe session helped a little though I still feel pulled in too many directions. Part of me wants to do everything at once.,cafe,12,6,3,5,early_morning,mixed,none,clear,restless,4
15,I feel lighter after the mountain sounds like my mind finally softened. I think I can start gently today.,mountain,8,8,3,3,night,overwhelmed,calm_face,clear,calm,2
16,I came in distracted but I left the forest session with a sharper mind. It feels easier to make a plan now.,forest,15,,3,1,early_morning,neutral,neutral_face,vague,focused,2
17,The forest session made me calmer but part of me still feels uneasy. I feel better and not better at the same time. I can't tell if I need rest or momentum.,forest,35,6,2,3,night,,calm_face,vague,mixed,3
18,The mountain session gave me a pause but the pressure is still sitting hard on me. I'm carrying too much in my head.,mountain,15,5.5,3,5,early_morning,overwhelmed,tired_face,vague,overwhelmed,4
19,I feel mentally clear after the mountain session and ready to tackle one thing at a time. I should begin with the hardest task first.,mountain,8,7.5,3,2,night,focused,neutral_face,clear,focused,4
20,I started scattered but the ocean session helped me lock in on what matters. My to-do list feels less chaotic. idk.,ocean,15,7,4,2,afternoon,calm,tense_face,clear,focused,2
21,The mountain session made me calmer but part of me still feels uneasy. Part of me wants rest part of me wants action.,mountain,15,5,2,2,afternoon,calm,happy_face,clear,mixed,3
22,The cafe session wasn't enough today; everything still feels heavy and too much. It's hard to know where to begin.,cafe,12,,2,4,afternoon,focused,tired_face,conflicted,overwhelmed,4
23,even after the forest track i feel exhausted and emotionally overloaded i feel emotionally tired i almost wanted to stop midway,forest,18,5.5,2,4,morning,focused,tense_face,vague,overwhelmed,5
24,I liked the ocean session but my mood is still split between calm and tension. It's like two moods are sitting together. I can't tell if I need rest or momentum. idk.,ocean,20,7,4,4,afternoon,focused,tense_face,clear,mixed,4
25,Even after the mountain track I feel exhausted and emotionally overloaded. I feel emotionally tired.,mountain,12,3.5,2,5,night,mixed,tense_face,vague,overwhelmed,4
26,The forest session was okay I don't feel much different just a bit more aware Maybe I need more time to notice a difference,forest,10,7.5,3,3,night,overwhelmed,calm_face,clear,neutral,2
